Price,Close,High,Low,Open,Volume
Ticker,MNDI.L,MNDI.L,MNDI.L,MNDI.L,MNDI.L
Date,,,,,
2023-09-21,1501.0596923828125,1519.7542834387623,1496.6609578970288,1502.1593454956271,1119297
2023-09-22,1502.159423828125,1506.5581585432878,1481.265647491533,1487.8636885470112,2161788
2023-09-25,1488.9632568359375,1507.1079602300276,1476.3169410137216,1507.1079602300276,1872466
2023-09-26,1499.9600830078125,1512.606399260252,1480.2681031975412,1481.8153789964458,1638952
2023-09-27,1488.9632568359375,1503.8088788730931,1484.0147568350608,1501.059685087156,967127
2023-09-28,1500.510009765625,1501.609662939209,1473.0180702533598,1495.011621863172,975137
2023-09-29,1509.307373046875,1525.802536927546,1499.9601379214014,1502.1594442916773,1044821
2023-10-02,1494.461669921875,1521.9536082506,1460.9214563470193,1506.5580983796085,806296
2023-10-03,1464.7705078125,1501.059795228918,1464.220620201154,1484.014865726134,1215682
2023-10-04,1484.5645751953125,1498.860432204671,1454.8733300645274,1455.4230956205615,1398907
2023-10-05,1491.7125244140625,1506.5581471856028,1481.815401888192,1495.5613714978647,901221
2023-10-06,1507.65771484375,1514.2558775098166,1491.7124398146457,1498.8603680132017,888729
2023-10-09,1499.9600830078125,1523.0510905668723,1493.9118076591806,1503.259164476981,943367
2023-10-10,1529.1015625,1546.146491331545,1488.9633074538951,1517.0051338375583,1924480
2023-10-11,1532.950439453125,1546.1465215180563,1530.7511331204805,1535.1497457857697,933930
2023-10-12,1538.9986572265625,1562.6416265370385,1524.1529129168791,1545.046810431871,960828
2023-10-13,1518.654541015625,1546.6963671865365,1517.0051223281243,1538.998673196438,727468
2023-10-16,1513.1561279296875,1534.5999128874942,1511.50670926984,1528.5516376862988,608358
2023-10-17,1510.406982421875,1519.7543393107576,1500.509982008167,1510.406982421875,794970
2023-10-18,1465.8701171875,1513.1561791412403,1464.7704640322095,1507.1080257698768,1220983
2023-10-19,1376.7962646484375,1452.300127351805,1354.2528257180309,1443.8765718079828,3205292
2023-10-20,1389.4423828125,1403.7382392086613,1346.005170126088,1369.6482609191894,2432422
2023-10-23,1372.3974609375,1393.841123594912,1365.7994202763366,1393.841123594912,919733
2023-10-24,1398.789794921875,1399.8894480650758,1365.799468418675,1369.0984278482774,2095181
2023-10-25,1400.9891357421875,1407.5871767985611,1364.1499613124465,1364.6997268803339,1578973
2023-10-26,1406.487548828125,1410.8862836226965,1370.1981393160784,1386.143537692083,2271183
2023-10-27,1438.927978515625,1438.927978515625,1403.1884568793205,1409.7866200398034,1656265
2023-10-30,1446.625732421875,1451.5742325441272,1435.0790694239154,1443.3266509840214,952213
2023-10-31,1461.4713134765625,1472.4680885789264,1448.8249977019389,1454.8732728220489,1073300
2023-11-01,1465.8701171875,1486.7640152761437,1459.8218417816058,1480.7157398702495,1151589
2023-11-02,1483.4649658203125,1504.9086299325443,1474.1177307466353,1478.5164654973462,974923
2023-11-03,1488.4134521484375,1489.5132273516745,1475.217370054915,1489.5132273516745,2290468
2023-11-06,1486.214111328125,1496.6609992402323,1473.0180295407758,1490.6128459354177,905880
2023-11-07,1486.214111328125,1499.9600807043341,1476.8668765592085,1489.5131927922268,789584
2023-11-08,1485.6641845703125,1490.0629190616344,1469.7189093281124,1480.1657969647915,1606455
2023-11-09,1524.702880859375,1524.702880859375,1483.4649712356731,1483.4649712356731,1124778
2023-11-10,1520.3040771484375,1522.5035054493467,1494.4616793630828,1513.706036314766,1510400
2023-11-13,1539.5484619140625,1539.5484619140625,1518.654563867854,1528.5516863144296,3444241
2023-11-14,1546.6964111328125,1551.6449114049735,1513.706083892988,1543.3973295950173,931483
2023-11-15,1577.4874267578125,1584.0854677767895,1555.4938753382012,1555.4938753382012,1607042
2023-11-16,1524.702880859375,1579.6867603576443,1520.3041460926067,1571.9890660417,928086
2023-11-17,1529.6513671875,1551.0951532161018,1512.0565503161442,1534.0501019139722,2084948
2023-11-20,1519.7542724609375,1540.0982820218928,1516.455191111799,1532.4004662187442,779003
2023-11-21,1503.8089599609375,1530.2012461359545,1502.7093067941726,1519.75435799989,692430
2023-11-22,1502.709228515625,1512.6063505700158,1490.0629126702659,1507.6577285255576,1114360
2023-11-23,1491.7125244140625,1510.9568818676044,1482.3652894863912,1504.908606425536,784598
2023-11-24,1496.6610107421875,1496.6610107421875,1477.4166534676,1483.4649288534254,568397
2023-11-27,1487.8636474609375,1502.7092699344473,1480.165831413338,1490.062953740521,764151
2023-11-28,1518.654541015625,1518.654541015625,1480.1658269960762,1485.6642147131545,1657422
2023-11-29,1539.5484619140625,1542.2976558139708,1512.6064105087742,1515.3556044086824,1180798
2023-11-30,1547.2462158203125,1551.0950627184675,1516.4551965660223,1520.853931035853,4074022
2023-12-01,1586.8345947265625,1586.8345947265625,1543.3972592855296,1548.8956469083546,1216050
2023-12-04,1578.5870361328125,1596.7317399575747,1569.789566995192,1580.7863423999536,1647929
2023-12-05,1581.885986328125,1588.484149160208,1565.9407108978216,1569.7895578601851,1014190
2023-12-06,1615.97607421875,1618.1753804550008,1571.9889732175234,1597.8313706488386,1613225
2023-12-07,1633.5709228515625,1659.9632083865292,1589.0339333841478,1607.7285249039085,1655349
2023-12-08,1608.828125,1643.4679909953893,1601.1303092040662,1628.0724814380467,1661660
2023-12-11,1621.4744873046875,1630.271834422355,1598.9310488737658,1603.8795490002958,1250737
2023-12-12,1612.677001953125,1631.9213587500312,1595.0821858600018,1628.622277342465,1763000
2023-12-13,1618.725341796875,1628.8158891133573,1602.7799437365804,1615.9761478590171,1165711
2023-12-14,1663.26220703125,1681.9567989918821,1648.4165842035197,1648.9664718038005,1513196
2023-12-15,1687.4552001953125,1695.1528944528998,1664.3618733534852,1669.3104956915336,2416848
2023-12-18,1656.1142578125,1697.9020538784036,1642.3682883216807,1652.8152983554216,1099445
2023-12-19,1680.85693359375,1680.85693359375,1639.6190268215423,1646.7669550689634,4254297
2023-12-20,1692.9534912109375,1712.7476133266596,1670.4100532639623,1701.20107260112,2114004
2023-12-21,1688.0048828125,1698.4518925452985,1673.1592605969722,1682.5064951745617,918729
2023-12-22,1680.3072509765625,1692.953567417676,1675.35862869898,1685.2557512196136,556560
2023-12-27,1703.9503173828125,1705.5997360825818,1670.41010324535,1695.15284815624,1412747
2023-12-28,1705.5997314453125,1719.3457008028781,1690.204343392462,1710.5483536347535,466976
2023-12-29,1690.754150390625,1704.5001200851386,1690.754150390625,1700.1013853759878,404987
2024-01-02,1686.3553466796875,1711.0980911173954,1684.705928011462,1705.0499379200053,998306
2024-01-03,1677.0081787109375,1690.2043828227686,1659.4133619296947,1683.6062197495871,831583
2024-01-04,1690.754150390625,1691.3040379922184,1674.8088743588023,1675.908527527457,1361756
2024-01-05,1648.9664306640625,1669.8602064009474,1632.361192336621,1667.660900123758,1291330
2024-01-08,1663.26220703125,1663.26220703125,1644.56773710515,1649.5162373695493,903890
2024-01-09,1650.6158447265625,1667.1110078628183,1649.323743139747,1666.011354727307,891171
2024-01-10,1620.924560546875,1640.7188046436845,1616.5258260770813,1640.7188046436845,1372517
2024-01-11,1575.837890625,1626.4230346318432,1575.837890625,1625.8731470309244,1388879
2024-01-12,1587.934326171875,1595.6320204097217,1576.9375503837898,1590.6835201188962,1283407
2024-01-15,1589.5838623046875,1600.580638060657,1583.5355868250913,1598.9310972903552,1138108
2024-01-16,1587.934326171875,1590.6835201188962,1573.0887032648664,1583.5355914497343,11579411
2024-01-17,1563.1915283203125,1573.088650605186,1552.194752900348,1565.390834590494,1788423
2024-01-18,1556.0435791015625,1576.3875889497933,1553.294385283301,1576.3875889497933,1768050
2024-01-19,1552.19482421875,1572.5388352735208,1549.9955178475175,1565.940794125289,1267615
2024-01-22,1552.19482421875,1560.4424061626735,1528.5517315725963,1560.4424061626735,1062425
2024-01-23,1571.4390869140625,1576.9374745436696,1557.693117840045,1563.191505469652,1684345
2024-01-24,1571.989013671875,1587.3844017908757,1564.841085168322,1576.3876262575725,1917310
2024-01-25,1605.529052734375,1608.8281340990802,1567.0403396406,1571.4390741153652,1822770
2024-01-26,1641.2686767578125,1642.918217545415,1592.5310129574473,1605.5291551760695,1374077
2024-01-29,1471.36865234375,1487.5638551790637,1454.173620581982,1484.1648273396245,911990
2024-01-30,1423.982421875,1479.5660967795427,1415.9847672978133,1479.5660967795427,1588637
2024-01-31,1413.58544921875,1449.9748020213851,1409.5866219225159,1449.9748020213851,1993352
2024-02-01,1400.58935546875,1428.5811484402882,1398.5899416850687,1407.5873037116346,3422452
2024-02-02,1367.09912109375,1406.0876883498058,1357.1020525665563,1403.5884212180074,1929318
2024-02-05,1363.6002197265625,1376.5964095040151,1359.6013921027309,1368.098900803373,1445740
2024-02-06,1372.5975341796875,1378.595775406984,1364.5998792099588,1370.5981204372554,1812012
2024-02-07,1380.59521484375,1388.0930165174127,1365.0997580515138,1370.0982925006224,1886856
2024-02-08,1335.6083984375,1421.1982936389788,1315.1144072938107,1384.0941823628134,4414419
2024-02-09,1343.6060791015625,1345.6054929097493,1330.609889348348,1337.107984224955,2241935
2024-02-12,1360.1011962890625,1480.9178216779376,1325.2864533639795,1341.6066191987666,1602914
2024-02-13,1345.60546875,1366.5993133590266,1341.6066412054233,1358.1018048268015,1971842
2024-02-14,1352.103515625,1361.600730707024,1339.6071799907577,1339.6071799907577,1664698
2024-02-15,1372.5975341796875,1386.5934303767126,1357.8549086925048,1359.6013448538783,2541902
2024-02-16,1374.596923828125,1391.591940340909,1367.099122425426,1386.0935526455967,1297385
2024-02-19,1379.0955810546875,1379.0955810546875,1365.5995387609303,1374.0970468718144,590077
2024-02-20,1382.0947265625,1390.0923813997513,1363.6001497513562,1374.596925152577,1625948
2024-02-21,1385.0938720703125,1387.5931392519624,1369.5984155440838,1386.5934323793024,1310898
2024-02-22,1410.0865478515625,1422.0830303572122,1393.091530968559,1393.091530968559,3579319
2024-02-23,1425.0821533203125,1427.0815670745326,1413.5855242335474,1417.0844983034324,1043258
2024-02-26,1400.58935546875,1428.5811484402882,1400.58935546875,1425.5820277647663,1083708
2024-02-27,1402.5887451171875,1408.586986365016,1376.0965129392791,1399.5896244932733,1644928
2024-02-28,1409.586669921875,1416.084764499529,1397.5901876246676,1399.5896013408687,1543415
2024-02-29,1408.087158203125,1427.581442608493,1396.090675492129,1407.0874513105418,2454756
2024-03-01,1411.5860595703125,1415.0850335140067,1395.0908966928973,1404.0882582623965,814734
2024-03-04,1383.5943603515625,1399.0898174219737,1364.1000756500773,1388.0930414365207,1523529
2024-03-05,1384.593994140625,1387.093261278063,1370.0982447434849,1380.5951667207244,1172252
2024-03-06,1383.5943603515625,1405.5879123224688,1379.0956792666045,1380.595239628257,1432740
2024-03-07,1379.595458984375,1398.0900357896003,1366.5992698780005,1375.596631567029,2768490
2024-03-08,1348.104736328125,1374.5969688180733,1316.613969406111,1340.6069346800264,14096066
2024-03-11,1349.1043701171875,1362.1005589363972,1324.1116993110152,1355.102611110669,7200403
2024-03-12,1328.6104736328125,1356.1024134559143,1327.6107667301542,1356.1024134559143,4266071
2024-03-13,1317.6136474609375,1334.6086641580816,1311.1136002889714,1332.109396996737,4777833
2024-03-14,1311.1156005859375,1332.1094455057275,1304.617505729812,1310.6157471354663,3955087
2024-03-15,1331.6094970703125,1344.1058324407172,1320.1128685295403,1323.1119890184375,5604934
2024-03-18,1319.1131591796875,1338.607442320274,1317.613598938104,1331.6094945262173,3875326
2024-03-19,1333.109130859375,1334.608691186551,1303.6177777582488,1312.6151397213043,3333922
2024-03-20,1338.107666015625,1342.6063469996147,1327.6107437196488,1336.1082522449628,3147322
2024-03-21,1366.0994873046875,1370.098314929436,1351.1038837118808,1359.1015389613776,4524829
2024-03-22,1363.100341796875,1365.5996090168912,1357.102100468836,1361.100928020862,3127588
2024-03-25,1369.598388671875,1369.598388671875,1352.1035187435846,1361.6007338475138,2722486
2024-03-26,1394.591064453125,1397.5901850218413,1359.601324484767,1364.1000053378416,2261636
2024-03-27,1398.090087890625,1428.5811480841637,1390.0924327578934,1409.5867171439265,11691263
2024-03-28,1395.0909423828125,1406.0877179945724,1385.5937270817471,1393.09152863522,3203159
2024-04-02,1372.09765625,1408.0871029713114,1368.0988288365209,1407.0873961179416,3661544
2024-04-03,1373.097412109375,1383.5943344443938,1366.099463886029,1376.0965327765232,3786516
2024-04-04,1420.5,1431.5,1328.885009765625,1340.0,6678827
2024-04-05,1398.5,1418.5,1389.9510498046875,1407.0,2958783
2024-04-08,1416.5,1417.5,1388.0,1395.0,2845368
2024-04-09,1424.0,1428.0,1409.5,1416.5,2921810
2024-04-10,1423.0,1433.0,1409.0,1430.5,2915286
2024-04-11,1418.0,1435.5,1417.0,1424.0,3164013
2024-04-12,1411.0,1429.5,1400.0,1428.0,4983330
2024-04-15,1403.5,1420.0,1403.5,1411.0,1705274
2024-04-16,1376.5,1422.0,1369.0,1405.0,5810497
2024-04-17,1363.5,1385.1109619140625,1354.0,1372.0,3182764
2024-04-18,1376.5,1376.5,1356.0,1372.0,3502153
2024-04-19,1504.5,1536.5,1356.5,1368.5,12810599
2024-04-22,1526.5,1528.0,1494.5,1508.0,10481384
2024-04-23,1500.0,1525.5,1496.5,1514.5,2989619
